country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,pollution_spread,pm25_dominance,kmeans_cluster,risk_level,risk_label,dbscan_cluster
Peru,Puquio,11.0,0.0,11.0,0.0,5.0,5.228129047119374,0.3124999804687512,2,0,Low Risk,0
Peru,Querecotillo,50.0,0.0,20.0,0.0,50.0,23.629078131263043,0.7142857040816328,1,1,Moderate Risk,0
Peru,Rioja,25.0,1.0,3.0,0.0,25.0,11.89887949906769,0.8620689357907263,1,1,Moderate Risk,0
Peru,Salas,48.0,1.0,8.0,2.0,48.0,22.381167678802342,0.8135593082447575,1,1,Moderate Risk,0
Peru,Salaverry,47.0,1.0,16.0,2.0,47.0,21.455380055672126,0.7121212013314969,1,1,Moderate Risk,0
Peru,San Clemente,22.0,0.0,18.0,1.0,22.0,11.38346754435279,0.5365853527662109,2,0,Low Risk,0
Peru,San Pedro De Lloc,60.0,1.0,16.0,1.0,60.0,27.910571473905726,0.7692307593688364,1,1,Moderate Risk,0
Peru,San Vicente De Canete,25.0,0.0,20.0,1.0,25.0,12.871156384205214,0.5434782490548207,2,0,Low Risk,0
Peru,Sana,64.0,1.0,11.0,3.0,64.0,29.81470554385313,0.8101265720237143,1,1,Moderate Risk,0
Peru,Santa,41.0,0.0,19.0,0.0,41.0,19.510680835549195,0.6833333219444446,1,1,Moderate Risk,0
Peru,Santiago De Cao,44.0,0.0,22.0,0.0,44.0,21.06339637063944,0.6666666565656567,1,1,Moderate Risk,0
Peru,Saposoa,39.0,1.0,6.0,0.0,39.0,18.520259177452136,0.8478260685255203,1,1,Moderate Risk,0
Peru,Satipo,35.0,1.0,3.0,0.0,35.0,16.879474715365603,0.8974358744247213,1,1,Moderate Risk,0
Peru,Sechura,49.0,0.0,24.0,0.0,49.0,23.41473894793619,0.671232867517358,1,1,Moderate Risk,0
Peru,Sicuani,12.0,0.0,9.0,1.0,12.0,5.916079783099616,0.5454545206611581,2,0,Low Risk,0
Peru,Soritor,40.0,1.0,1.0,0.0,40.0,19.672315572906,0.952380929705216,1,1,Moderate Risk,0
Peru,Sullana,45.0,1.0,17.0,1.0,45.0,20.752509888364507,0.703124989013672,1,1,Moderate Risk,0
Peru,Supe,45.0,1.0,18.0,2.0,45.0,20.534523775015252,0.6818181714876035,1,1,Moderate Risk,0
Peru,Tabalosos,34.0,1.0,2.0,0.0,34.0,16.520189667999176,0.9189188940832732,1,1,Moderate Risk,0
Peru,Tacna,31.0,1.0,12.0,2.0,31.0,13.916417163432069,0.6739130288279777,1,1,Moderate Risk,0
Peru,Talara,37.0,0.0,24.0,0.0,37.0,18.39157415774952,0.6065573671056169,2,0,Low Risk,0
Peru,Tambo Grande,55.0,1.0,16.0,1.0,55.0,25.5,0.753424647213361,1,1,Moderate Risk,0
Peru,Tambopata,20.0,1.0,2.0,0.0,20.0,9.535023160258536,0.8695651795841226,1,1,Moderate Risk,0
Peru,Tarma,15.0,1.0,3.0,1.0,15.0,6.733003292241386,0.7499999625000018,1,1,Moderate Risk,0
Peru,Tingo Maria,36.0,1.0,1.0,1.0,36.0,17.5,0.9230768994082847,1,1,Moderate Risk,0
Peru,Tocache,34.0,1.0,1.0,0.0,34.0,16.673332000533065,0.9444444182098773,1,1,Moderate Risk,0
Peru,Trujillo,47.0,1.0,16.0,2.0,47.0,21.455380055672126,0.7121212013314969,1,1,Moderate Risk,0
Peru,Tumbes,47.0,1.0,23.0,0.0,47.0,22.20172665957913,0.6619718216623688,1,1,Moderate Risk,0
Peru,Uchiza,37.0,1.0,1.0,0.0,37.0,18.172781845386247,0.9487179243918481,1,1,Moderate Risk,0
Peru,Vice,33.0,0.0,23.0,0.0,33.0,16.673332000533065,0.5892857037627554,2,0,Low Risk,0
Peru,Viru,34.0,0.0,18.0,0.0,34.0,16.3707055437449,0.6538461412721897,1,1,Moderate Risk,0
Peru,Yanacancha,27.0,0.0,6.0,1.0,27.0,12.609520212918492,0.7941176237024229,1,1,Moderate Risk,0
Peru,Yunguyo,51.0,0.0,16.0,0.0,51.0,24.046829312822098,0.7611940184896415,1,1,Moderate Risk,0
Peru,Yurimaguas,32.0,1.0,1.0,0.0,32.0,15.673757260678329,0.9411764429065753,1,1,Moderate Risk,0
Peru,Zarumilla,51.0,1.0,18.0,1.0,51.0,23.57081528783706,0.7183098490378895,1,1,Moderate Risk,0
Peru,Zorritos,26.0,1.0,20.0,0.0,26.0,13.225606476327151,0.5531914775916708,2,0,Low Risk,0
Philippines,Abucay,47.0,1.0,27.0,1.0,47.0,22.3308456325923,0.61842104449446,1,1,Moderate Risk,0
Philippines,Abuyog,45.0,1.0,21.0,0.0,45.0,21.17191535974013,0.6716417810202719,1,1,Moderate Risk,0
Philippines,Agoo,54.0,0.0,24.0,1.0,54.0,25.38208029299411,0.6835442951450089,1,1,Moderate Risk,0
Philippines,Aguisan,50.0,1.0,17.0,0.0,50.0,23.338094752285727,0.7352941068339102,1,1,Moderate Risk,0
Philippines,Alabel,19.0,0.0,16.0,0.0,19.0,10.177589760514683,0.5428571273469392,2,0,Low Risk,0
Philippines,Alaminos,42.0,0.0,25.0,1.0,42.0,20.281354326901674,0.6176470497404846,2,0,Low Risk,0
Philippines,Amadeo,40.0,0.0,26.0,0.0,40.0,19.891371663780923,0.6060605968778697,2,0,Low Risk,0
Philippines,Amungan,67.0,0.0,25.0,0.0,67.0,31.612233918743126,0.7282608616493385,1,1,Moderate Risk,0
Philippines,Angat,73.0,1.0,23.0,1.0,73.0,33.95585369269929,0.744897951582674,1,1,Moderate Risk,0
Philippines,Angeles,65.0,1.0,22.0,1.0,65.0,30.170349683091178,0.7303370704456509,1,1,Moderate Risk,0
Philippines,Angono,63.0,1.0,23.0,1.0,63.0,29.23468259904093,0.7159090827737604,1,1,Moderate Risk,0
Philippines,Antipolo,61.0,1.0,23.0,2.0,61.0,28.06391514620391,0.7011494172281676,1,1,Moderate Risk,0
Philippines,Anuling,59.0,1.0,13.0,0.0,59.0,27.801378862687127,0.8082191670106964,1,1,Moderate Risk,0
Philippines,Apalit,60.0,1.0,24.0,1.0,60.0,27.862758896658697,0.6976744104921581,1,1,Moderate Risk,0
Philippines,Aringay,59.0,1.0,24.0,1.0,59.0,27.402858731648173,0.6941176388927337,1,1,Moderate Risk,0
Philippines,Asia,120.0,1.0,13.0,0.0,120.0,57.96838218661388,0.8955223813766987,1,1,Moderate Risk,0
Philippines,Astorga,39.0,1.0,15.0,0.0,39.0,18.172781845386247,0.7090908961983474,1,1,Moderate Risk,0
Philippines,Baao,48.0,0.0,25.0,0.0,48.0,23.070543990118654,0.6575342375680242,1,1,Moderate Risk,0
Philippines,Bacolod,38.0,1.0,19.0,0.0,38.0,17.935068069752806,0.6551724024970276,1,1,Moderate Risk,0
Philippines,Bacoor,52.0,1.0,27.0,1.0,52.0,24.45914961727002,0.6419753007163543,1,1,Moderate Risk,0
Philippines,Baculongan,26.0,0.0,21.0,1.0,26.0,13.4412301024373,0.5416666553819447,2,0,Low Risk,0
Philippines,Bagabag,46.0,1.0,24.0,0.0,46.0,21.85368008673444,0.6478873148184886,1,1,Moderate Risk,0
Philippines,Baganga,52.0,1.0,17.0,0.0,52.0,24.28305307548181,0.7428571322448981,1,1,Moderate Risk,0
Philippines,Bagting,97.0,1.0,32.0,1.0,97.0,45.2575960475145,0.7404580096148243,1,1,Moderate Risk,0
Philippines,Baguio,28.0,0.0,25.0,1.0,28.0,15.066519173319364,0.5185185089163239,2,0,Low Risk,0
Philippines,Bais,83.0,1.0,14.0,0.0,83.0,39.517928420739196,0.8469387668679718,1,1,Moderate Risk,0
Philippines,Balagtas,71.0,1.0,24.0,1.0,71.0,32.998737349581525,0.7319587553406314,1,1,Moderate Risk,0
Philippines,Baliuag,65.0,1.0,25.0,2.0,65.0,29.95969514753669,0.6989247236674762,1,1,Moderate Risk,0
Philippines,Baloc,148.0,1.0,29.0,2.0,148.0,69.88085097745542,0.822222217654321,0,3,Severe Risk,0
Philippines,Bambang,53.0,1.0,26.0,0.0,53.0,25.073226092121985,0.6624999917187501,1,1,Moderate Risk,0
Philippines,Bangar,30.0,1.0,30.0,0.0,19.0,14.571661996262929,0.37999999240000015,2,0,Low Risk,0
Philippines,Bangued,27.0,0.0,23.0,0.0,27.0,14.52583904633395,0.5399999892000003,2,0,Low Risk,0
Philippines,Bani,52.0,0.0,26.0,0.0,52.0,24.89310480166479,0.6666666581196582,1,1,Moderate Risk,0
Philippines,Bantay,34.0,0.0,26.0,0.0,34.0,17.62573875520305,0.5666666572222224,2,0,Low Risk,0
Philippines,Baras,51.0,1.0,27.0,1.0,51.0,24.027761721253466,0.6374999920312501,1,1,Moderate Risk,0
Philippines,Barotac Nuevo,47.0,1.0,22.0,0.0,47.0,22.128413107737,0.6714285618367348,1,1,Moderate Risk,0
Philippines,Barra,52.0,1.0,27.0,1.0,52.0,24.45914961727002,0.6419753007163543,1,1,Moderate Risk,0
Philippines,Batangas,72.0,2.0,25.0,7.0,72.0,31.90088817990287,0.6792452766108936,1,1,Moderate Risk,0
Philippines,Bato,57.0,1.0,26.0,0.0,57.0,26.84523545560118,0.6785714204931974,1,1,Moderate Risk,0
Philippines,Bay,53.0,1.0,23.0,1.0,53.0,24.623836689950114,0.6794871707758056,1,1,Moderate Risk,0
Philippines,Bayugan,44.0,1.0,18.0,0.0,44.0,20.56493779875511,0.6984126873267827,1,1,Moderate Risk,0
Philippines,Biao,35.0,1.0,16.0,0.0,35.0,16.391054470858997,0.6730769101331364,1,1,Moderate Risk,0
Philippines,Bigaa,53.0,1.0,24.0,0.0,53.0,24.933244206614322,0.6794871707758056,1,1,Moderate Risk,0
Philippines,Binalbagan,75.0,1.0,18.0,0.0,75.0,35.31288716601915,0.7978723319375284,1,1,Moderate Risk,0
Philippines,Binangonan,52.0,1.0,25.0,1.0,52.0,24.295061226512683,0.6582278397692679,1,1,Moderate Risk,0
Philippines,Bislig,31.0,1.0,18.0,0.0,31.0,14.843629385474879,0.6199999876000003,2,0,Low Risk,0
